EMPTY findGo
EMPTY tasks/AirdropNameVoucher
EMPTY tasks/addCatalog
EMPTY tasks/checkDapperTx
EMPTY tasks/client
EMPTY tasks/collectionDataTest
EMPTY tasks/dandy
EMPTY tasks/dapperMarket
EMPTY tasks/event
EMPTY tasks/findDapperMarket
EMPTY tasks/mainnetMarket
EMPTY tasks/mainnetMarketListingEnquiry
EMPTY tasks/nfg
EMPTY tasks/partyMansion
EMPTY tasks/registerGift
EMPTY tasks/testnetMarket
EMPTY tasks/testnetUser
EMPTY utils
PASS TestAuction/Should_list_a_name_for_sale (0.04s)
PASS TestAuction/Should_be_able_list_names_for_sale_and_delist_some (0.29s)
PASS TestAuction/Should_be_able_to_direct_offer_on_name_for_sale (0.09s)
PASS TestAuction/Should_be_able_to_direct_offer_on_name_for_sale_and_fulfill_it (0.14s)
PASS TestAuction/Should_be_able_to_sell_lease_from_auction_buyer_can_fulfill_auction (0.22s)
PASS TestAuction/Should_not_allow_auction_bid_lower_then_the_current_one (0.13s)
PASS TestAuction/Should_not_start_auction_if_bid_lower_then_sale_price (0.09s)
PASS TestAuction/Should_not_accept_direct_offer_bid_less_then_current_one (0.09s)
PASS TestAuction/Should_not_be_able_to_increase_direct_offer_price_less_than_increment (0.09s)
PASS TestAuction/Should_start_auction_if_we_start_out_with_smaller_bid_and_then_increase_it_with_locked_user (0.21s)
PASS TestAuction/Should_not_allow_double_bid_from_same_author (0.13s)
PASS TestAuction/Should_start_auction_if_we_start_out_with_smaller_bid_and_then_increase_it (0.14s)
PASS TestAuction/Should_be_able_to_manually_start_auction_with_lower_bid (0.14s)
PASS TestAuction/Should_be_able_to_cancel_blind_bid (0.19s)
PASS TestAuction/Should_be_able_to_cancel_blind_bid_when_user_locked (0.27s)
PASS TestAuction/Should_not_be_able_to_cancel_bid_when_auction_has_started (0.13s)
PASS TestAuction/Should_return_money_if_outbid (0.14s)
PASS TestAuction/Should_extend_auction_on_late_bid (0.22s)
PASS TestAuction/Should_be_able_to_cancel_unfinished_auction (0.13s)
PASS TestAuction/Should_not_be_able_to_bid_on_lease_that_is_free,_and_not_cleaned_up (0.41s)
PASS TestAuction/Should_be_able_to_cancel_finished_auction_that_did_not_meet_reserve_price (0.30s)
PASS TestAuction/Should_not_be_able_to_cancel_finished_auction (0.34s)
PASS TestAuction/Should_not_be_able_to_direct_offer_on_your_own_name (0.04s)
PASS TestAuction/Should_cancel_previous_bid_if_put_for_auction (0.09s)
PASS TestAuction/Should_register_previousBuyer_if_direct_offer_outbid (0.09s)
PASS TestAuction (4.19s)
PASS TestCollectionScripts/Should_be_able_to_get_dandies_by_script (0.13s)
PASS TestCollectionScripts (0.13s)
PASS TestDandy/Should_be_able_to_mint_3_dandy_nfts_and_display_them (0.12s)
PASS TestDandy/Should_be_able_to_return_the_correct_minter_and_dandies_list (0.19s)
PASS TestDandy (0.32s)
PASS TestEntitlments/Should_not_be_able_to_change_the_name_of_another_user (0.03s)
PASS TestEntitlments (0.03s)
PASS TestFindAirdropper/Should_be_able_to_send_Airdrop (0.09s)
PASS TestFindAirdropper/Should_be_able_to_send_packs_thru_airdropper_with_struct (0.09s)
PASS TestFindAirdropper/Should_not_be_able_to_send_Airdrop_without_collection,_good_events_will_be_emitted (0.08s)
PASS TestFindAirdropper/Should_be_able_to_get_Airdrop_details_with_a_script (0.15s)
PASS TestFindAirdropper/Should_be_able_to_send_Airdrop_with_sending_funds_to_royalty_holders (0.09s)
PASS TestFindAirdropper/Should_be_able_to_send_Airdrop_and_donate_funds_to_FIND! (0.08s)
PASS TestFindAirdropper (0.59s)
PASS TestFINDDapper/Should_get_expected_output_for_register_script (0.03s)
PASS TestFINDDapper/Should_get_error_if_you_try_to_register_a_name_that_is_too_short (0.04s)
PASS TestFINDDapper/Should_get_error_if_you_try_to_register_a_name_that_is_already_claimed (0.04s)
PASS TestFINDDapper/Should_be_able_to_send_lease_to_another_name (0.04s)
PASS TestFINDDapper (0.16s)
PASS TestFindFurnace/Should_be_able_to_burn_Dandy (0.08s)
PASS TestFindFurnace (0.08s)
PASS TestFindLostAndFound/Should_be_able_to_send_thru_sendNFT_transaction_without_initialized_collection (0.08s)
PASS TestFindLostAndFound/Should_be_able_to_get_all_Lost_And_Found_NFT_with_script (0.12s)
PASS TestFindLostAndFound/Should_not_be_able_to_redeem_NFT_on_behalf_of_without_suitable_collection._But_tx_will_still_run_thru_and_events_will_be_emitted (0.15s)
PASS TestFindLostAndFound/Should_be_able_to_send_thru_sendNFT_transaction_with_account_initiated (0.08s)
PASS TestFindLostAndFound (0.44s)
PASS TestFindPack/Should_be_able_to_buy_pack (0.07s)
PASS TestFindPack/Should_be_able_to_buy_pack_and_open_pack (0.13s)
PASS TestFindPack/Should_be_able_to_buy,__open_and_fulfill (0.22s)
PASS TestFindPack/Should_be_able_to_buy,__open_and_fulfill_with_no_collection_setup (0.22s)
PASS TestFindPack/Should_get_transferred_to_DLQ_if_try_to_open_with_wrong_salt (0.22s)
PASS TestFindPack/Should_not_be_able_to_buy_pack_before_drop_is_open (0.33s)
PASS TestFindPack/Should_not_be_able_to_open_pack_before_drop_is_available (0.46s)
PASS TestFindPack/Should_be_able_to_buy_nft_if_the_user_has_the_float_and_with_a_whitelist. (0.38s)
PASS TestFindPack (2.04s)
PASS TestRelatedAccounts/Should_be_able_to_get_identifier (0.03s)
PASS TestRelatedAccounts/Should_be_able_to_get_Related_wallet_in_network (0.03s)
PASS TestRelatedAccounts/Should_be_able_to_get_Related_wallet_in_Flow (0.08s)
PASS TestRelatedAccounts/Should_be_able_to_get_all_Related_wallet_in_network (0.20s)
PASS TestRelatedAccounts/Should_be_able_to_update_wallet (0.06s)
PASS TestRelatedAccounts (0.39s)
PASS TestFindStruct/Should_be_able_to_pass_in_Royalty_Struct (0.06s)
PASS TestFindStruct/Should_be_able_to_pass_in_Verifier_Struct (0.05s)
PASS TestFindStruct/Should_be_able_to_pass_in_PackRegisterSaleInfo_Struct (0.06s)
PASS TestFindStruct/Should_be_able_to_pass_in_PackRegisterInfo_Struct (0.06s)
PASS TestFindStruct (0.23s)
PASS TestFIND/Should_get_error_if_you_try_to_register_a_name_and_dont_have_enough_money (0.04s)
PASS TestFIND/Should_get_error_if_you_try_to_register_a_name_that_is_too_short (0.04s)
PASS TestFIND/Should_get_error_if_you_try_to_register_a_name_that_is_already_claimed (0.04s)
PASS TestFIND/Should_allow_registering_a_lease_after_it_is_freed (0.21s)
PASS TestFIND/Should_be_able_to_lookup_address (0.03s)
PASS TestFIND/Should_not_be_able_to_lookup_lease_after_expired (0.20s)
PASS TestFIND/Admin_should_be_able_to_register_without_paying_FUSD (0.09s)
PASS TestFIND/Should_automatically_set_Find_name_to_empty_if_sender_have_none (0.02s)
PASS TestFIND/Should_automatically_set_Find_Name_if_sender_have_one (0.08s)
PASS TestFIND/Should_be_able_to_register_related_account_and_remove_it (0.15s)
PASS TestFIND/Should_be_able_to_set_private_mode (0.13s)
PASS TestFIND/If_a_user_holds_an_invalid_find_name,_get_status_should_not_return_it (0.08s)
PASS TestFIND/Should_be_able_to_create_and_edit_the_social_link (0.17s)
PASS TestFIND/Should_not_be_able_to_buy_forge_for_less_then_amount (0.05s)
PASS TestFIND/Should_be_able_to_buy_addons_that_are_on_Network (0.04s)
PASS TestFIND/Should_not_be_able_to_buy_unavaialbe_addon (0.05s)
PASS TestFIND/Should_be_able_to_fund_users_without_profile (0.05s)
PASS TestFIND/Should_be_able_to_fund_users_with_profile_but_without_find_name (0.05s)
PASS TestFIND/Should_be_able_to_resolve_find_name_with_.find (0.03s)
PASS TestFIND/Should_panic_if_user_pass_in_invalid_character_'.' (0.04s)
PASS TestFIND/Should_be_able_to_getFindStatus_of_an_FREE_lease (0.05s)
PASS TestFIND/Should_be_able_to_getFindStatus_of_an_TAKEN_lease (0.11s)
PASS TestFIND/Should_be_able_to_getFindStatus_of_an_LOCKED_lease (0.16s)
PASS TestFIND/Should_be_able_to_register_related_account_and_mutually_link_it_for_trust (0.22s)
PASS TestFIND/Should_be_able_to_getFindStatus_for_trusted_accounts (0.17s)
PASS TestFIND/Should_be_able_to_follow_someone (0.04s)
PASS TestFIND/Should_be_able_to_unfollow_someone (0.05s)
PASS TestFIND/Should_not_be_able_to_move_old_leases (0.28s)
PASS TestFIND/Should_not_be_able_to_get_old_leases_information (0.27s)
PASS TestFIND/Should_not_be_able_to_get_old_leases (0.28s)
PASS TestFIND/Should_be_able_to_get_old_leases_in_getInvalidatedLeases (0.29s)
PASS TestFIND/Should_not_be_able_to_list_old_leases_for_sale (0.29s)
PASS TestFIND/Should_be_able_to_list_lease_for_auction (0.04s)
PASS TestFIND/Should_not_be_able_to_list_old_lease_for_auction (0.28s)
PASS TestFIND/Should_be_able_to_delist_old_leases_for_sale (0.33s)
PASS TestFIND/Should_be_able_to_delist_old_leases_for_auction (0.32s)
PASS TestFIND/Should_be_able_to_cleanup_invalid_leases (0.33s)
PASS TestFIND/Should_be_able_to_register_a_name_with_usdc (0.05s)
PASS TestFIND (5.21s)
PASS TestFindThought/Should_be_able_to_post_a_thought (0.19s)
PASS TestFindThought/Should_be_able_to_edit_a_thought (0.13s)
PASS TestFindThought/Should_be_able_to_react_to_a_thought (0.12s)
PASS TestFindThought/Should_be_able_to_get_a_list_of_different_thoguhts_by_a_script_with_reacted_list (0.36s)
PASS TestFindThought/Should_be_able_to_undo_reaction_to_a_thought (0.20s)
